,driverRef,trend,slope
0,gasly,Declining,0.17910837133802235
1,alonso,Declining,0.22728414624719676
2,max_verstappen,Steady,-0.0665436345366004
3,russell,Improving,-0.22021140913658455
4,bottas,Steady,0.02951804900672528
5,norris,Improving,-0.3550958491149402
6,zhou,Steady,0.04805016618999764
7,hulkenberg,Improving,-0.220555297299582
8,piastri,Improving,-0.3216580976863758
9,ocon,Steady,0.09079575708912722
10,stroll,Declining,0.12094127505062605
11,perez,Steady,0.04750031695051333
12,hamilton,Steady,-0.04636355483813091
13,sargeant,Declining,0.17905202359245034
14,leclerc,Improving,-0.20595036911856315
15,kevin_magnussen,Steady,0.013419069319078132
16,sainz,Improving,-0.2356042852360223
17,albon,Declining,0.27172712598759746
18,tsunoda,Declining,0.19750320102432767
19,ricciardo,Declining,0.2639223100721892
